acronym,structure_id,name,expression_energy,expression_density,sum_expressing_pixel_intensity,sum_expressing_pixels,sum_pixels,receptor
CEAl,551,"Central amygdalar nucleus, lateral part",1.41664,0.0120142,643998.0,5461.63,454597.0,5-HT1a
NLOT1,260,"Nucleus of the lateral olfactory tract, molecular layer",1.44383,0.0114934,706819.0,5626.53,489543.0,5-HT1a
PS,1109,Parastrial nucleus,1.31959,0.010851,64076.4,526.9,48557.7,5-HT1a
NDB,596,Diagonal band nucleus,3.85552,0.02722,7816940.0,55187.7,2027470.0,5-HT1a
MPNc,740,"Medial preoptic nucleus, central part",2.05553,0.0160829,69307.6,542.279,33717.6,5-HT1a
MEA,403,Medial amygdalar nucleus,1.90887,0.0159462,6741860.0,56320.0,3531870.0,5-HT1a
COApl2,224,"Cortical amygdalar area, posterior part, lateral zone, layer 2",1.40077,0.0111767,930315.0,7422.95,664144.0,5-HT1a
PTLp6b,340,"Posterior parietal association areas, layer 6b",1.55392,0.0104844,777914.0,5248.65,500615.0,5-HT1a
AUDp,1002,Primary auditory area,2.51231,0.0225737,1493500.0,13419.5,594473.0,5-HT1a
AIp6a,314,"Agranular insular area, posterior part, layer 6a",1.47667,0.0136892,568014.0,5265.67,384659.0,5-HT1a
BLA,295,Basolateral amygdalar nucleus,1.37437,0.0116729,4037080.0,34287.9,2937400.0,5-HT1a
PRNr,146,Pontine reticular nucleus,1.03715,0.0079379,5099280.0,39027.6,4916610.0,5-HT1a
RPA,230,Nucleus raphe pallidus,0.700082,0.00557224,195849.0,1558.85,279752.0,5-HT1a
ENTm1,526,"Entorhinal area, medial part, dorsal zone, layer 1",6.88904,0.0424378,14454200.0,89040.4,2098140.0,5-HT1a
MGv,1079,"Medial geniculate complex, ventral part",0.827809,0.00588821,868429.0,6177.15,1049070.0,5-HT1a
SUMl,1110,"Supramammillary nucleus, lateral part",1.24456,0.0101336,349568.0,2846.3,280876.0,5-HT1a
LRNp,963,"Lateral reticular nucleus, parvicellular part",0.160538,0.00112745,22306.6,156.658,138949.0,5-HT1a
OT3,473,"Olfactory tubercle, polymorph layer",0.946481,0.00753775,1812450.0,14434.3,1914940.0,5-HT1a
BSTp,367,"Bed nuclei of the stria terminalis, posterior division",1.10126,0.00923899,875478.0,7344.79,794977.0,5-HT1a
RSPagl6b,279,"Retrosplenial area, lateral agranular part, layer 6b",0.297035,0.00279197,9609.75,90.3263,32352.2,5-HT1a
SF,310,Septofimbrial nucleus,2.35851,0.0178289,2416290.0,18265.7,1024500.0,5-HT1a
VISal5,233,"Anterolateral visual area, layer 5",2.25816,0.0184173,2842760.0,23185.3,1258880.0,5-HT1a
TTd4,1059,"Taenia tecta, dorsal part, layer 4",3.41101,0.0264144,938514.0,7267.72,275142.0,5-HT1a
ENTm5,727,"Entorhinal area, medial part, dorsal zone, layer 5",9.21918,0.054709,1289540.0,7652.47,139876.0,5-HT1a
VISam4,401,"Anteromedial visual area, layer 4",1.58096,0.0135073,663156.0,5665.8,419463.0,5-HT1a
MDRN,395,Medullary reticular nucleus,1.21566,0.0100625,3210320.0,26573.1,2640810.0,5-HT1a
LPO,226,Lateral preoptic area,1.55661,0.0123807,2891910.0,23001.2,1857830.0,5-HT1a
SSp-tr6b,461,"Primary somatosensory area, trunk, layer 6b",1.06395,0.00809838,557726.0,4245.22,524206.0,5-HT1a
MPNl,748,"Medial preoptic nucleus, lateral part",2.01409,0.0163589,344295.0,2796.44,170943.0,5-HT1a
CM,599,Central medial nucleus of the thalamus,0.166484,0.0015271,86872.9,796.857,521811.0,5-HT1a
BMA,319,Basomedial amygdalar nucleus,2.53966,0.0208634,6039040.0,49610.8,2377890.0,5-HT1a
CA2sr,454,"Field CA2, stratum radiatum",2.31173,0.0143403,1047840.0,6500.04,453272.0,5-HT1a
MOs6b,1085,"Secondary motor area, layer 6b",1.19769,0.0100245,314497.0,2632.31,262588.0,5-HT1a
SPIV,225,Spinal vestibular nucleus,0.47033,0.00404616,596549.0,5132.0,1268360.0,5-HT1a
AId2/3,328,"Agranular insular area, dorsal part, layer 2/3",2.24861,0.0190075,5425590.0,45862.6,2412860.0,5-HT1a
AOBgr,196,"Accessory olfactory bulb, granular layer",0.582981,0.00506953,227152.0,1975.29,389640.0,5-HT1a
SSp-ul6a,945,"Primary somatosensory area, upper limb, layer 6a",1.93055,0.0155159,5130720.0,41235.7,2657640.0,5-HT1a
ECT6a,977,Ectorhinal area/Layer 6a,6.61922,0.0418855,1851740.0,11717.5,279752.0,5-HT1a
TEa2/3,1127,"Temporal association areas, layer 2/3",1.70713,0.0143333,358180.0,3007.32,209814.0,5-HT1a
PVHlp,455,"Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part",1.21172,0.0098011,40856.3,330.47,33717.6,5-HT1a
LRNm,955,"Lateral reticular nucleus, magnocellular part",0.85751,0.00674455,1010400.0,7947.11,1178300.0,5-HT1a
SCH,286,Suprachiasmatic nucleus,0.377681,0.00346731,92422.0,848.482,244709.0,5-HT1a
ORBvl1,969,"Orbital area, ventrolateral part, layer 1",1.78991,0.0123022,1050510.0,7220.23,586906.0,5-HT1a
AON,159,Anterior olfactory nucleus,1.32951,0.0102371,11322900.0,87185.4,8516630.0,5-HT1a
CNspg,560,"Cochlear nucleus, subpedunclular granular region",0.326919,0.00278256,11432.0,97.3032,34969.0,5-HT1a
FOTU,944,Folium-tuber vermis (VII),0.165577,0.00121803,175030.0,1287.57,1057090.0,5-HT1a
SSp-ll,337,"Primary somatosensory area, lower limb",1.64609,0.0133481,11791300.0,95615.4,7163230.0,5-HT1a
SSs6b,893,"Supplemental somatosensory area, layer 6b",0.788405,0.00691966,578964.0,5081.45,734349.0,5-HT1a
AUDp6a,954,"Primary auditory area, layer 6a",2.74127,0.0246763,958594.0,8629.07,349690.0,5-HT1a
BSTrh,562,"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",0.308939,0.00294968,19989.7,190.857,64704.5,5-HT1a
PMd,980,Dorsal premammillary nucleus,1.08784,0.00917854,202103.0,1705.22,185783.0,5-HT1a
CBX,528,Cerebellar cortex,0.386241,0.00289569,39825500.0,298576.0,103110000.0,5-HT1a
TT,589,Taenia tecta,3.37426,0.0248136,10898800.0,80147.3,3229970.0,5-HT1a
VISam1,281,"Anteromedial visual area, layer 1",0.559711,0.00468554,234870.0,1966.19,419628.0,5-HT1a
MSC,904,Medial septal complex,4.86329,0.0338358,16318300.0,113533.0,3355400.0,5-HT1a
PALv,835,"Pallidum, ventral region",1.2141,0.00965557,8287200.0,65906.9,6825800.0,5-HT1a
SCop,851,"Superior colliculus, optic layer",1.52837,0.0121824,1419400.0,11313.8,928701.0,5-HT1a
DEC,936,Declive (VI),0.171939,0.00125833,1097950.0,8035.26,6385680.0,5-HT1a
y,781,Nucleus y,0.331968,0.00269823,23217.2,188.709,69938.0,5-HT1a
FOTUmo,10728,"Folium-tuber vermis (VII), molecular layer",0.130133,0.000985263,68702.8,520.161,527941.0,5-HT1a
CEAm,559,"Central amygdalar nucleus, medial part",1.59363,0.0133642,2061920.0,17291.3,1293850.0,5-HT1a
RSPd6a,274,"Retrosplenial area, dorsal part, layer 6a",1.6716,0.0131039,1396070.0,10944.0,835172.0,5-HT1a
COApl,655,"Cortical amygdalar area, posterior part, lateral zone",1.66479,0.0134673,3724720.0,30131.2,2237350.0,5-HT1a
SS,453,Somatosensory areas,1.72984,0.0138271,124886000.0,998251.0,72195200.0,5-HT1a
MARN,307,Magnocellular reticular nucleus,1.57237,0.0116931,2281880.0,16969.4,1451240.0,5-HT1a
GU4,148,"Gustatory areas, layer 4",2.10076,0.0175664,734616.0,6142.79,349690.0,5-HT1a
HY,1097,Hypothalamus,1.2119,0.0101126,38371100.0,320184.0,31661900.0,5-HT1a
PRT,1100,Pretectal region,0.681877,0.00581842,2402140.0,20497.3,3522840.0,5-HT1a
COApl1,216,"Cortical amygdalar area, posterior part, lateral zone, layer 1",0.578781,0.00461878,404565.0,3228.5,698995.0,5-HT1a
MOp5,648,"Primary motor area, Layer 5",2.70533,0.0214671,18326900.0,145426.0,6774380.0,5-HT1a
HEM,1073,Hemispheric regions,0.377657,0.00283295,24386000.0,182929.0,64571900.0,5-HT1a
AId6a,783,"Agranular insular area, dorsal part, layer 6a",2.71632,0.022029,1044860.0,8473.63,384659.0,5-HT1a
OLF,698,Olfactory areas,1.26244,0.0101576,114706000.0,922926.0,90860200.0,5-HT1a
CA1so,399,"Field CA1, stratum oriens",4.41104,0.026081,16916400.0,100021.0,3835010.0,5-HT1a
CA3sr,504,"Field CA3, stratum radiatum",1.53123,0.0101854,4945210.0,32894.4,3229570.0,5-HT1a
ECU,903,External cuneate nucleus,0.571924,0.00485953,336530.0,2859.42,588416.0,5-HT1a
TMv,1,"Tuberomammillary nucleus, ventral part",0.766338,0.00677393,64848.2,573.216,84620.9,5-HT1a
MGm,1088,"Medial geniculate complex, medial part",0.494678,0.00419135,224879.0,1905.37,454597.0,5-HT1a
ENTmv1,259,"Entorhinal area, medial part, ventral zone, layer 1",0.911757,0.00789722,159416.0,1380.79,174845.0,5-HT1a
VP,709,Ventral posterior complex of the thalamus,0.407532,0.00371582,2213960.0,20186.5,5432590.0,5-HT1a
ACAd,39,"Anterior cingulate area, dorsal part",1.72202,0.0136917,9057680.0,72017.2,5259930.0,5-HT1a
ENT,909,Entorhinal area,6.27024,0.0420837,80470000.0,540087.0,12833600.0,5-HT1a
PIR,961,Piriform area,1.67172,0.0138684,42125200.0,349467.0,25198800.0,5-HT1a
AIp,111,"Agranular insular area, posterior part",1.43658,0.0131891,1908960.0,17526.0,1328820.0,5-HT1a
VISpl6b,393,"Posterolateral visual area, layer 6b",2.42059,0.0196156,84645.7,685.938,34969.0,5-HT1a
RH,189,Rhomboid nucleus,0.126979,0.00114305,62108.5,559.09,489123.0,5-HT1a
ATN,239,Anterior group of the dorsal thalamus,0.595951,0.0047522,2149700.0,17142.0,3607180.0,5-HT1a
VISl6a,74,"Lateral visual area, layer 6a",2.02655,0.0160849,637799.0,5062.27,314721.0,5-HT1a
LING,912,Lingula (I),0.208192,0.0016486,36370.5,288.006,174697.0,5-HT1a
SUM,525,Supramammillary nucleus,1.36943,0.0110832,575990.0,4661.65,420604.0,5-HT1a
SSp-tr4,1086,"Primary somatosensory area, trunk, layer 4",1.42168,0.0115104,2084060.0,16873.3,1465920.0,5-HT1a
"CUL4, 5",1091,Lobules IV-V,0.427818,0.00332003,6109050.0,47408.5,14279600.0,5-HT1a
CL,575,Central lateral nucleus of the thalamus,0.181798,0.00161904,68483.1,609.89,376698.0,5-HT1a
FRP2/3,667,"Frontal pole, layer 2/3",0.959615,0.00785448,123428.0,1010.26,128622.0,5-HT1a
CA1,382,Field CA1,4.40183,0.0266045,80525800.0,486695.0,18293700.0,5-HT1a
AONd,167,"Anterior olfactory nucleus, dorsal part",1.15752,0.0091758,582984.0,4621.38,503649.0,5-HT1a
SSp-bfd,329,"Primary somatosensory area, barrel field",1.65487,0.013207,32522400.0,259553.0,19652600.0,5-HT1a
TR3,1142,"Postpiriform transition area, layers 3",1.96438,0.0170024,1854690.0,16053.0,944162.0,5-HT1a
VISl2/3,973,"Lateral visual area, layer 2/3",1.72235,0.0151277,722746.0,6348.01,419628.0,5-HT1a
CENT3,984,Lobule III,0.725041,0.00501724,3869440.0,26776.3,5336860.0,5-HT1a
PAG,795,Periaqueductal gray,1.72485,0.0128397,19099600.0,142177.0,11073200.0,5-HT1a
SCig,10,"Superior colliculus, motor related, intermediate gray layer",1.236,0.0102237,7417680.0,61356.4,6001370.0,5-HT1a
DG-sg,632,"Dentate gyrus, granule cell layer",3.29159,0.020375,10137800.0,62753.3,3079920.0,5-HT1a
ICc,811,"Inferior colliculus, central nucleus",1.47413,0.0120504,4184190.0,34204.1,2838420.0,5-HT1a
PYRgr,10729,"Pyramus (VIII), granular layer",0.224218,0.00162054,172556.0,1247.16,769593.0,5-HT1a
ANcr1gr,10675,"Crus 1, granular layer",0.400054,0.00295536,2196150.0,16223.9,5489640.0,5-HT1a
FL,1049,Flocculus,0.720399,0.00539444,2216860.0,16600.2,3077270.0,5-HT1a
BMAa,327,"Basomedial amygdalar nucleus, anterior part",2.76018,0.0222492,1544330.0,12448.5,559504.0,5-HT1a
ENTl6a,28,"Entorhinal area, lateral part, layer 6a",5.53108,0.0413135,9670820.0,72234.6,1748450.0,5-HT1a
ENTl2a,715,"Entorhinal area, lateral part, layer 2a",2.88441,0.0239921,1109510.0,9228.79,384659.0,5-HT1a
SSp-n4,654,"Primary somatosensory area, nose, layer 4",1.90935,0.014721,734449.0,5662.56,384659.0,5-HT1a
PPT,1061,Posterior pretectal nucleus,0.782037,0.00653006,124205.0,1037.12,158823.0,5-HT1a
AIv1,704,"Agranular insular area, ventral part, layer 1",0.780467,0.0070298,354798.0,3195.73,454597.0,5-HT1a
PRE,1084,Presubiculum,2.45899,0.0164613,6449130.0,43172.6,2622680.0,5-HT1a
PL1,171,"Prelimbic area, layer 1",0.683226,0.0055087,812218.0,6548.73,1188800.0,5-HT1a
MS,564,Medial septal nucleus,6.40194,0.0439365,8501360.0,58344.9,1327940.0,5-HT1a
MED,444,Medial group of the dorsal thalamus,0.403322,0.00338324,1190730.0,9988.36,2952310.0,5-HT1a
MOs2/3,962,"Secondary motor area, layer 2/3",1.22266,0.00979462,8180070.0,65529.6,6690370.0,5-HT1a
CTXsp,703,Cortical subplate,2.06341,0.0171626,32173600.0,267607.0,15592400.0,5-HT1a
CENT3gr,10711,"Lobule III, granular layer",0.693981,0.00462203,1652490.0,11005.9,2381180.0,5-HT1a
DG-mo,10703,"Dentate gyrus, molecular layer",3.26966,0.0199864,29710000.0,181608.0,9086560.0,5-HT1a
MY-sat,379,"Medulla, behavioral state related",0.957696,0.00758898,669793.0,5307.58,699380.0,5-HT1a
VLPO,689,Ventrolateral preoptic nucleus,1.41234,0.0113424,39531.1,317.471,27989.7,5-HT1a
ORBvl6a,608,"Orbital area, ventrolateral part, layer 6a",2.44183,0.0203379,983909.0,8194.95,402940.0,5-HT1a
P-sat,1117,"Pons, behavioral state related",1.47676,0.0108953,9782230.0,72171.5,6624100.0,5-HT1a
VISpl2/3,269,"Posterolateral visual area, layer 2/3",1.47472,0.0117572,567265.0,4522.49,384659.0,5-HT1a
